"DEPARTMENTID","DEPARTMENTNAME","BUILDINGNAME","FLOOR","PHONE","TOTALBEDS","OCCUPIEDBEDS","HEADOFDEPARTMENT"
"1","Rheumatology","Building C","10","024112129","90","72","James Johnson"
"2","Orthopedics","Building B","8","028352724","55","45","Alice Johnson"
"3","Dermatology","Building B","4","029431772","95","47","David Williams"
"4","Emerg Med","Building D","8","021889524","44","23","Michael Taylor"
"5","Pediatrics","Building D","5","022556550","60","46","James Smith"
"6","Neurology","Building B","1","029125932","51","41","James Brown"
"7","Geriatrics","Building E","6","029612733","83","52","Alice Jones"
"8","Surgery","Building B","9","021205064","92","83","James Moore"
"9","Urology","Building D","3","026340539","65","62","Jane Wilson"
"10","Orthopedics","Building D","9","026389125","92","86","John Johnson"
"11","Endocrinol","Building A","9","027986150","93","83","David Moore"
"12","Gastroentero","Building B","6","020582252","39","32","Michael Davis"
"13","Obstetrics","Building D","8","027135961","76","76","Linda Jones"
"14","Infect Dis","Building A","10","027637260","60","39","Robert Brown"
"15","Cardiology","Building B","7","028126340","83","73","Jane Miller"
"16","Nephrology","Building A","5","022687927","27","14","David Moore"
"17","Pediatrics","Building C","7","029514889","72","62","James Jones"
"18","Geriatrics","Building D","10","024643410","60","30","Emily Johnson"
"19","Urology","Building C","8","023632522","53","38","Alice Smith"
"20","Rheumatology","Building C","7","029091931","88","81","Emily Wilson"
"21","Geriatrics","Building E","1","023696554","79","0","Alice Davis"
"22","Dermatology","Building D","5","027686578","26","0","David Wilson"
"23","Surgery","Building A","6","023972007","98","0","David Brown"
"24","Orthopedics","Building B","9","024108695","66","0","Sara Brown"
"25","Gastroentero","Building E","6","029899929","53","0","James Brown"
"26","Cardiology","Building D","3","023078928","70","0","Sara Davis"
"27","Pulmonology","Building D","2","029839139","64","0","David Johnson"
"28","Dermatology","Building D","9","029263080","79","0","Jane Moore"
"29","Surgery","Building E","2","023744645","90","0","Linda Moore"
"30","Rheumatology","Building D","4","020716373","86","0","Emily Wilson"
"31","Geriatrics","Building E","3","021336973","79","0","Jane Davis"
"32","Pediatrics","Building E","6","020301530","84","0","Linda Brown"
"33","Obstetrics","Building D","2","024694210","67","0","John Moore"
"34","Surgery","Building A","6","029918186","71","0","Linda Brown"
"35","Surgery","Building B","8","023691640","60","0","Michael Wilson"
"36","Gastroentero","Building D","2","023000321","86","0","David Brown"
"37","Gastroentero","Building C","7","021463664","90","0","Robert Miller"
"38","Geriatrics","Building D","3","028144692","91","0","Michael Johnson"
"39","Infect Dis","Building D","10","026804739","56","0","John Brown"
"40","Orthopedics","Building A","8","025716740","42","0","David Wilson"
"41","Neurology","Building E","7","024751619","98","0","Linda Miller"
"42","Ophthalmology","Building B","4","024973311","79","0","Alice Jones"
"43","Ophthalmology","Building A","6","020364983","48","0","Robert Davis"
"44","Endocrinol","Building E","4","020942924","67","0","Jane Jones"
"45","Emerg Med","Building D","4","022819008","96","0","Robert Smith"
"46","Dermatology","Building E","5","027562015","80","0","Emily Miller"
"47","Cardiology","Building B","7","024542029","81","0","Jane Smith"
"48","Pediatrics","Building C","10","026534918","25","0","Robert Wilson"
"49","Cardiology","Building E","2","022843576","56","0","Michael Davis"
"50","Emerg Med","Building C","6","026050014","63","0","John Jones"
"51","Rheumatology","Building E","4","022799405","76","0","James Jones"
"52","Endocrinol","Building D","2","024573868","79","0","David Wilson"
"53","Endocrinol","Building C","2","021859659","80","0","Sara Brown"
"54","Rheumatology","Building E","2","026295957","84","0","Michael Jones"
"55","Rheumatology","Building A","8","028561580","56","0","Sara Taylor"
"56","Rheumatology","Building B","5","029552368","79","0","David Brown"
"57","Emerg Med","Building E","6","024694704","72","0","Michael William"
"58","Endocrinol","Building D","5","025811322","95","0","James Miller"
"59","Cardiology","Building C","1","027149807","99","0","James Miller"
"60","Dermatology","Building E","10","027419805","26","0","Michael Smith"
"61","Dermatology","Building D","1","023631652","50","0","Alice Smith"
"62","Pediatrics","Building D","3","021464231","65","0","John Moore"
"63","Gen Medicine","Building D","10","026973376","93","0","Robert Taylor"
"64","Rheumatology","Building A","4","021915740","28","0","David Jones"
"65","Psychiatry","Building B","1","021289899","45","0","Sara Jones"
"66","Surgery","Building B","8","028266367","24","0","James Johnson"
"67","Gen Medicine","Building C","8","029834340","54","0","John Moore"
"68","Gen Medicine","Building D","9","028520494","54","0","Jane Taylor"
"69","Gastroentero","Building D","3","023309780","52","0","Sara Smith"
"70","Emerg Med","Building C","8","023198511","52","0","Jane Taylor"
"71","Gastroentero","Building C","6","023544860","55","0","James Brown"
"72","Rheumatology","Building C","4","022063542","53","0","Emily Johnson"
"73","Nephrology","Building B","5","027225926","95","0","Emily Brown"
"74","Psychiatry","Building B","8","026050767","70","0","Jane Miller"
"75","Oncology","Building A","1","026506120","98","0","Jane Moore"
"76","Endocrinol","Building C","5","022121092","39","0","John Moore"
"77","Psychiatry","Building D","2","027375141","30","0","Linda Williams"
"78","Rheumatology","Building C","10","024462048","53","0","Michael Moore"
"79","Cardiology","Building E","9","027426219","43","0","Robert Williams"
"80","Obstetrics","Building A","10","024250553","93","0","Sara Wilson"
"81","Orthopedics","Building A","10","027718137","42","0","Sara Davis"
"82","Gastroentero","Building B","6","026447698","87","0","Linda Smith"
"83","Cardiology","Building A","6","022130352","91","0","Sara Wilson"
"84","Gastroentero","Building D","9","023149386","79","0","John Moore"
"85","Gen Medicine","Building C","7","023848796","68","0","David Brown"
"86","Orthopedics","Building B","7","028884020","100","0","Sara Jones"
"87","Infect Dis","Building D","6","025066590","60","0","Linda Brown"
"88","Gastroentero","Building D","2","022183802","96","0","Jane Wilson"
"89","Geriatrics","Building E","1","028297660","92","0","Jane Brown"
"90","Endocrinol","Building A","9","023560620","96","0","Linda Miller"
"91","Emerg Med","Building D","2","025794553","98","0","Alice Smith"
"92","Cardiology","Building E","8","022507944","68","0","Michael Taylor"
"93","Cardiology","Building D","10","029975971","100","0","Linda Smith"
"94","Obstetrics","Building A","1","027796032","23","0","Alice Jones"
"95","Cardiology","Building E","4","022862253","85","0","Alice Brown"
"96","Geriatrics","Building A","1","024027753","89","0","Michael Miller"
"97","Ophthalmology","Building C","6","021502260","24","0","Michael Brown"
"98","Emerg Med","Building D","6","027141766","63","0","Alice Williams"
"99","Geriatrics","Building C","9","025454952","29","0","Emily Taylor"
"100","Obstetrics","Building A","5","028513825","49","0","David Williams"
"101","Cardiology","Building E","6","021500305","49","0","Michael Jones"
"102","Psychiatry","Building B","10","029055971","83","0","Michael Brown"
"103","Pediatrics","Building B","8","023189701","30","0","Alice Taylor"
"104","Surgery","Building C","2","020608086","49","0","Alice Williams"
"105","Emerg Med","Building D","1","022427469","69","0","John Smith"
"106","Infect Dis","Building D","10","021210207","30","0","Alice Moore"
"107","Urology","Building B","4","027867254","58","0","Alice Williams"
"108","Surgery","Building C","8","020727612","66","0","Sara Wilson"
"109","Obstetrics","Building A","2","024120600","96","0","Michael Moore"
"110","Infect Dis","Building E","1","020327173","54","0","James Wilson"
"111","Pulmonology","Building C","9","020001004","91","0","John Smith"
"112","Psychiatry","Building D","5","025528290","39","0","David Moore"
"113","Pediatrics","Building E","2","023270126","42","0","Michael Brown"
"114","Obstetrics","Building B","2","023887445","68","0","Alice Jones"
"115","Emerg Med","Building A","1","028189617","98","0","Linda Johnson"
"116","Nephrology","Building C","2","027026603","31","0","James Miller"
"117","Dermatology","Building C","7","026931388","99","0","Alice Miller"
"118","Urology","Building D","4","029049588","84","0","Robert Johnson"
"119","Gastroentero","Building E","7","021356792","68","0","John Brown"
"120","Pediatrics","Building A","3","029614544","64","0","James Moore"
"121","Neurology","Building B","6","021020408","94","0","Jane Johnson"
"122","Gen Medicine","Building A","8","025343192","96","0","Linda Smith"
"123","Cardiology","Building E","5","020566921","68","0","Michael William"
"124","Pulmonology","Building C","6","021838629","43","0","Alice Williams"
"125","Urology","Building A","6","027553406","77","0","David Davis"
"126","Oncology","Building B","7","024646546","36","0","John Moore"
"127","Emerg Med","Building B","1","023741020","55","0","Sara Moore"
"128","Gen Medicine","Building D","6","026703483","100","0","John Jones"
"129","Gastroentero","Building B","9","024703390","32","0","Emily Brown"
"130","Psychiatry","Building C","10","023056259","37","0","John Taylor"
"131","Emerg Med","Building D","9","020176648","55","0","Emily Moore"
"132","Obstetrics","Building A","5","022725859","97","0","Jane Jones"
"133","Dermatology","Building D","1","021052559","65","0","Emily Williams"
"134","Dermatology","Building D","5","027987302","67","0","Linda Jones"
"135","Gastroentero","Building E","4","024674981","24","0","Emily Johnson"
"136","Infect Dis","Building D","1","023097902","99","0","Alice Taylor"
"137","Oncology","Building A","7","027723139","93","0","Emily Miller"
"138","Dermatology","Building A","7","025812631","27","0","David Jones"
"139","Psychiatry","Building B","1","022929822","68","0","James Brown"
"140","Surgery","Building B","7","022014280","94","0","Michael Miller"
"141","Gastroentero","Building C","6","028957947","45","0","Alice Miller"
"142","Emerg Med","Building A","1","025003706","46","0","Alice Johnson"
"143","Surgery","Building A","3","023418163","36","0","Robert Brown"
"144","Gastroentero","Building B","2","025377904","66","0","James Jones"
"145","Infect Dis","Building E","2","022220026","22","0","David Jones"
"146","Oncology","Building D","1","024550272","20","0","Michael Taylor"
"147","Endocrinol","Building C","4","026385781","69","0","Jane Davis"
"148","Pediatrics","Building A","1","022721888","61","0","John Wilson"
"149","Gen Medicine","Building D","10","022943344","90","0","Michael William"
"150","Psychiatry","Building D","5","022702989","20","0","Sara Williams"
"151","Oncology","Building C","2","028358816","47","0","Alice Jones"
"152","Nephrology","Building E","5","025338782","46","0","David Johnson"
"153","Emerg Med","Building A","10","027536753","88","0","James Jones"
"154","Cardiology","Building A","6","028828424","21","0","Linda Jones"
"155","Geriatrics","Building A","7","022000115","47","0","John Smith"
"156","Orthopedics","Building E","2","025164393","73","0","Michael Johnson"
"157","Nephrology","Building E","1","023944781","60","0","Linda Moore"
"158","Endocrinol","Building E","6","025816230","77","0","John Williams"
"159","Nephrology","Building B","7","022351043","69","0","Robert Williams"
"160","Psychiatry","Building B","7","020583709","46","0","John Brown"
"161","Urology","Building C","3","025430719","85","0","Robert Moore"
"162","Rheumatology","Building A","3","024503921","72","0","Linda Moore"
"163","Infect Dis","Building C","4","028720346","90","0","Robert Moore"
"164","Nephrology","Building B","3","023416399","79","0","David Wilson"
"165","Rheumatology","Building B","10","020289504","57","0","Jane Smith"
"166","Urology","Building E","5","027556351","30","0","Alice Miller"
"167","Cardiology","Building A","5","027205165","24","0","Emily Miller"
"168","Neurology","Building C","2","027188943","84","0","John Taylor"
"169","Emerg Med","Building C","7","027682217","87","0","John Jones"
"170","Gastroentero","Building B","2","028739829","100","0","Linda Wilson"
"171","Pulmonology","Building A","5","020928841","41","0","Robert Brown"
"172","Psychiatry","Building E","7","021645751","76","0","Robert Miller"
"173","Orthopedics","Building B","5","027587424","73","0","Sara Moore"
"174","Ophthalmology","Building C","5","023931102","95","0","Alice Taylor"
"175","Nephrology","Building C","3","022205176","36","0","Robert Williams"
"176","Orthopedics","Building C","9","025236866","30","0","Alice Davis"
"177","Endocrinol","Building E","3","024385011","20","0","Emily Miller"
"178","Urology","Building C","3","023806385","97","0","Sara Taylor"
"179","Dermatology","Building E","9","029426202","97","0","Sara Moore"
"180","Endocrinol","Building D","6","025230012","29","0","John Johnson"
"181","Rheumatology","Building E","3","024995683","65","0","David Wilson"
"182","Urology","Building B","4","024265703","86","0","John Williams"
"183","Cardiology","Building A","10","024196343","33","0","Michael Davis"
"184","Neurology","Building E","4","025176062","42","0","Linda Davis"
"185","Pulmonology","Building E","10","023467852","64","0","Robert Jones"
"186","Psychiatry","Building B","1","024243674","61","0","Emily Jones"
"187","Dermatology","Building B","7","022156325","69","0","Emily Moore"
"188","Infect Dis","Building C","5","020367897","32","0","Jane Taylor"
"189","Pediatrics","Building C","3","025377596","69","0","Jane Taylor"
"190","Ophthalmology","Building A","9","020741467","24","0","Robert Miller"
"191","Obstetrics","Building B","4","022829725","48","0","Linda Williams"
"192","Nephrology","Building E","8","027489414","79","0","Michael Jones"
"193","Oncology","Building C","2","020063109","31","0","David Davis"
"194","Orthopedics","Building A","4","020811741","96","0","Michael Johnson"
"195","Pediatrics","Building C","8","022723566","48","0","Michael Brown"
"196","Gastroentero","Building C","6","029191115","52","0","David Brown"
"197","Infect Dis","Building A","2","022639335","31","0","David Wilson"
"198","Pulmonology","Building C","7","024423973","71","0","David Taylor"
"199","Pulmonology","Building C","7","026506512","38","0","Linda Moore"
"200","Orthopedics","Building D","10","021431302","76","0","Robert Wilson"
"201","Infect Dis","Building D","5","022214985","32","0","John Johnson"
"202","Pulmonology","Building A","10","021073102","63","0","Jane Smith"
"203","Surgery","Building B","9","022489634","43","0","John Brown"
"204","Endocrinol","Building C","9","024347631","55","0","John Smith"
"205","Surgery","Building E","1","026536986","58","0","Emily Miller"
"206","Pediatrics","Building E","4","027564231","74","0","Robert Smith"
"207","Neurology","Building B","7","026091782","52","0","Sara Brown"
"208","Urology","Building A","4","026698855","32","0","Alice Brown"
"209","Gen Medicine","Building B","3","026438837","74","0","Jane Smith"
"210","Pulmonology","Building C","7","029842591","35","0","Linda Taylor"
"211","Orthopedics","Building D","1","029062392","46","0","Alice Williams"
"212","Emerg Med","Building C","4","021853838","71","0","David Williams"
"213","Rheumatology","Building C","8","023304131","90","0","David Wilson"
"214","Urology","Building E","4","026426495","83","0","Alice Smith"
"215","Infect Dis","Building A","5","021200007","60","0","Michael Taylor"
"216","Cardiology","Building B","8","021188741","68","0","Alice Wilson"
"217","Orthopedics","Building B","3","026527134","53","0","Alice Miller"
"218","Oncology","Building D","10","025595615","93","0","Alice Moore"
"219","Neurology","Building E","5","026600902","80","0","David Williams"
"220","Gen Medicine","Building E","6","027840068","48","0","John Taylor"
"221","Ophthalmology","Building D","3","026273304","57","0","David Moore"
"222","Gen Medicine","Building B","6","026463656","96","0","Jane Jones"
"223","Neurology","Building B","2","020210863","73","0","Emily Moore"
"224","Pulmonology","Building D","3","025485794","94","0","Michael Davis"
"225","Endocrinol","Building B","5","025787450","64","0","Robert Brown"
"226","Cardiology","Building C","8","022114003","30","0","Sara Jones"
"227","Oncology","Building E","5","029935927","93","0","James Miller"
"228","Psychiatry","Building E","5","024175718","24","0","Michael Wilson"
"229","Ophthalmology","Building A","8","027485756","74","0","John Jones"
"230","Nephrology","Building D","10","023784119","39","0","Michael Johnson"
"231","Surgery","Building E","6","027876005","65","0","John Johnson"
"232","Rheumatology","Building A","2","022643274","76","0","Robert Jones"
"233","Endocrinol","Building D","8","021045949","62","0","Michael Miller"
"234","Obstetrics","Building D","4","026645934","53","0","Michael Smith"
"235","Endocrinol","Building C","5","023354370","85","0","Sara Wilson"
"236","Nephrology","Building C","10","025025526","86","0","Jane Williams"
"237","Neurology","Building D","7","025251272","83","0","Sara Williams"
"238","Gastroentero","Building D","9","023996506","63","0","Alice Jones"
"239","Surgery","Building C","2","026891743","34","0","David Davis"
"240","Pediatrics","Building E","7","023927855","20","0","David Johnson"
"241","Nephrology","Building A","8","027256498","56","0","Michael Miller"
"242","Neurology","Building D","1","025306175","76","0","John Moore"
"243","Nephrology","Building A","7","020152379","20","0","David Wilson"
"244","Ophthalmology","Building C","10","026039901","39","0","Robert Wilson"
"245","Nephrology","Building D","4","023025264","71","0","Emily Moore"
"246","Cardiology","Building B","3","023410505","54","0","Robert Wilson"
"247","Obstetrics","Building D","2","024748742","31","0","Alice Wilson"
"248","Emerg Med","Building A","9","022359916","84","0","Emily Johnson"
"249","Pediatrics","Building A","6","023649909","74","0","Emily Davis"
"250","Geriatrics","Building E","2","025906269","86","0","Alice Johnson"
"251","Urology","Building E","5","028578074","53","0","David Moore"
"252","Geriatrics","Building E","6","023327536","50","0","Michael William"
"253","Obstetrics","Building A","7","020179284","24","0","James Smith"
"254","Urology","Building C","6","020658816","64","0","David Wilson"
"255","Infect Dis","Building D","6","024742315","24","0","Sara Williams"
"256","Pediatrics","Building B","9","024780647","20","0","Alice Smith"
"257","Dermatology","Building E","10","023447853","84","0","John Brown"
"258","Psychiatry","Building D","4","024561704","33","0","Linda Moore"
"259","Infect Dis","Building D","10","021147189","24","0","Alice Williams"
"260","Nephrology","Building A","1","020466192","76","0","Jane Wilson"
"261","Gen Medicine","Building E","4","026473778","100","0","Sara Davis"
"262","Gen Medicine","Building E","10","021311949","28","0","Michael Smith"
"263","Pediatrics","Building A","4","023874186","21","0","Sara Davis"
"264","Pediatrics","Building A","1","024100148","89","0","Michael Taylor"
"265","Urology","Building A","6","028698677","30","0","Sara Williams"
"266","Gen Medicine","Building B","9","020164537","43","0","Jane Wilson"
"267","Cardiology","Building B","7","024726957","87","0","David Taylor"
"268","Psychiatry","Building B","8","025779121","78","0","David Brown"
"269","Ophthalmology","Building D","1","023616240","29","0","James Moore"
"270","Oncology","Building E","2","025877897","68","0","James Johnson"
"271","Cardiology","Building C","8","023751789","90","0","Alice Smith"
"272","Nephrology","Building E","10","026315836","94","0","Sara Taylor"
"273","Cardiology","Building C","1","020958186","82","0","Alice Taylor"
"274","Infect Dis","Building B","3","021206555","48","0","Michael Smith"
"275","Dermatology","Building D","5","022098479","58","0","Alice Jones"
"276","Rheumatology","Building D","1","025589817","89","0","James Jones"
"277","Oncology","Building D","6","021372117","27","0","Alice Miller"
"278","Infect Dis","Building A","5","020429276","94","0","Robert Williams"
"279","Ophthalmology","Building A","3","023496319","86","0","David Moore"
"280","Pulmonology","Building D","8","029671373","62","0","Robert Brown"
"281","Endocrinol","Building A","7","026615845","87","0","Sara Brown"
"282","Neurology","Building E","1","028155868","22","0","Linda Williams"
"283","Nephrology","Building B","8","023763818","50","0","Michael Taylor"
"284","Geriatrics","Building A","7","028090941","79","0","James Williams"
"285","Orthopedics","Building E","5","024241821","89","0","John Williams"
"286","Oncology","Building A","7","025876730","22","0","Emily Taylor"
"287","Infect Dis","Building A","2","020578652","84","0","John Johnson"
"288","Endocrinol","Building B","6","029820525","31","0","Linda Moore"
"289","Psychiatry","Building A","1","020128507","84","0","Michael Wilson"
"290","Ophthalmology","Building D","1","023583505","82","0","Emily Taylor"
"291","Endocrinol","Building D","9","024186911","27","0","Sara Williams"
"292","Surgery","Building B","2","029162222","64","0","Sara Miller"
"293","Psychiatry","Building B","8","021335195","98","0","Alice Davis"
"294","Endocrinol","Building C","6","027991956","96","0","James Moore"
"295","Cardiology","Building E","3","025933082","87","0","Linda Wilson"
"296","Pediatrics","Building E","1","026833046","23","0","Linda Wilson"
"297","Psychiatry","Building E","8","022705078","96","0","Jane Smith"
"298","Psychiatry","Building D","3","021092613","86","0","Alice Miller"
"299","Surgery","Building C","6","024391094","92","0","Emily Davis"
"300","Psychiatry","Building D","8","022216991","68","0","Sara Brown"
"301","Nephrology","Building C","6","027871316","55","0","Jane Johnson"
"302","Orthopedics","Building D","9","027718163","79","0","Alice Smith"
"303","Orthopedics","Building D","8","025514058","29","0","Linda Moore"
"304","Gastroentero","Building C","2","024071577","50","0","Sara Davis"
"305","Endocrinol","Building A","1","020797749","45","0","Sara Williams"
"306","Obstetrics","Building C","10","020429402","49","0","John Brown"
"307","Endocrinol","Building E","7","026659444","38","0","Sara Smith"
"308","Nephrology","Building D","1","021411311","86","0","Jane Moore"
"309","Cardiology","Building C","9","029636291","80","0","John Smith"
"310","Pediatrics","Building E","1","025338754","65","0","James Jones"
"311","Emerg Med","Building A","8","023659660","85","0","Robert Johnson"
"312","Pediatrics","Building A","9","027126913","57","0","John Jones"
"313","Psychiatry","Building C","1","021741737","83","0","John Davis"
"314","Infect Dis","Building D","2","023212160","69","0","Sara Jones"
"315","Cardiology","Building D","5","024400314","59","0","Sara Williams"
"316","Urology","Building E","4","020411922","24","0","Emily Smith"
"317","Rheumatology","Building E","9","029291770","36","0","David Brown"
"318","Psychiatry","Building E","2","022543429","50","0","Michael Moore"
"319","Pulmonology","Building B","1","021564955","62","0","Robert Jones"
"320","Emerg Med","Building E","2","028010547","25","0","Linda Smith"
"321","Obstetrics","Building C","1","027447726","91","0","Alice Williams"
"322","Oncology","Building D","9","027815309","34","0","Emily Williams"
"323","Urology","Building A","2","022175385","85","0","John Williams"
"324","Rheumatology","Building D","3","024877744","83","0","Robert Smith"
"325","Cardiology","Building D","6","022639757","68","0","Alice Taylor"
"326","Dermatology","Building A","3","023611694","66","0","Emily Smith"
"327","Pediatrics","Building D","5","026291908","32","0","Robert Davis"
"328","Cardiology","Building B","4","024334924","37","0","James Moore"
"329","Pediatrics","Building A","6","020257131","27","0","Jane Johnson"
"330","Ophthalmology","Building B","3","029517543","75","0","Jane Brown"
"331","Surgery","Building C","6","022294738","93","0","David Smith"
"332","Dermatology","Building B","3","021361885","53","0","David Moore"
"333","Pediatrics","Building B","9","022251046","70","0","Linda Davis"
"334","Geriatrics","Building B","1","023695400","20","0","David Smith"
"335","Dermatology","Building A","1","029318726","68","0","Alice Williams"
"336","Infect Dis","Building E","5","028537988","94","0","James Moore"
"337","Geriatrics","Building C","6","026051008","58","0","Michael Miller"
"338","Endocrinol","Building C","4","020065166","53","0","Sara Miller"
"339","Ophthalmology","Building D","6","025073334","67","0","Sara Wilson"
"340","Rheumatology","Building C","7","028880785","84","0","Jane Jones"
"341","Endocrinol","Building A","7","026774392","32","0","David Johnson"
"342","Infect Dis","Building E","5","025827063","48","0","David Wilson"
"343","Urology","Building D","10","022754584","85","0","Robert Moore"
"344","Orthopedics","Building D","2","024989277","71","0","Michael Taylor"
"345","Nephrology","Building E","9","020632890","49","0","Jane Williams"
"346","Cardiology","Building B","5","020763050","32","0","Linda Johnson"
"347","Gen Medicine","Building B","4","029942791","33","0","David Smith"
"348","Infect Dis","Building D","2","027149963","63","0","Jane Smith"
"349","Pulmonology","Building B","1","029804285","67","0","James Smith"
"350","Obstetrics","Building E","9","021065395","23","0","Emily Taylor"
"351","Rheumatology","Building A","7","029342530","70","0","Linda Brown"
"352","Pulmonology","Building C","4","021910419","64","0","Jane Smith"
"353","Psychiatry","Building C","10","027031265","39","0","Robert Johnson"
"354","Psychiatry","Building A","6","024061914","60","0","Sara Johnson"
"355","Psychiatry","Building A","8","024455118","96","0","Sara Brown"
"356","Dermatology","Building A","9","023375245","93","0","Alice Williams"
"357","Emerg Med","Building A","9","029070936","94","0","Alice Miller"
"358","Urology","Building C","2","029683052","67","0","Emily Williams"
"359","Rheumatology","Building C","2","022281966","43","0","Sara Miller"
"360","Neurology","Building C","2","026742633","41","0","John Smith"
"361","Rheumatology","Building C","6","029524837","34","0","Linda Jones"
"362","Pulmonology","Building E","5","028585278","74","0","David Taylor"
"363","Cardiology","Building E","7","021398724","33","0","Michael Taylor"
"364","Urology","Building C","10","029267938","89","0","Michael Brown"
"365","Surgery","Building C","5","022985413","80","0","Michael William"
"366","Geriatrics","Building C","2","029069227","25","0","Linda Williams"
"367","Ophthalmology","Building A","4","023299051","75","0","Sara Williams"
"368","Geriatrics","Building D","8","029435732","100","0","Jane Miller"
"369","Rheumatology","Building E","5","029878788","79","0","Robert Brown"
"370","Urology","Building E","1","021189562","57","0","Michael William"
"371","Neurology","Building E","5","021394021","97","0","James Williams"
"372","Infect Dis","Building C","8","025706073","47","0","Alice Wilson"
"373","Surgery","Building D","10","024213685","74","0","James Moore"
"374","Gen Medicine","Building A","1","026324505","48","0","Michael Davis"
"375","Endocrinol","Building A","5","024281912","39","0","James Johnson"
"376","Geriatrics","Building C","4","021395678","55","0","James Wilson"
"377","Surgery","Building E","4","023343537","40","0","Alice Miller"
"378","Pulmonology","Building E","6","021813464","42","0","Robert Wilson"
"379","Neurology","Building B","7","021699923","39","0","Sara Jones"
"380","Orthopedics","Building C","10","022003460","35","0","Robert Jones"
"381","Infect Dis","Building D","7","022418947","82","0","James Wilson"
"382","Oncology","Building A","8","024103035","23","0","Alice Williams"
"383","Urology","Building E","6","027840065","72","0","Alice Smith"
"384","Cardiology","Building B","10","025615403","54","0","Jane Smith"
"385","Geriatrics","Building D","4","024915282","33","0","Jane Johnson"
"386","Ophthalmology","Building D","1","028345024","67","0","Sara Wilson"
"387","Emerg Med","Building A","9","023464807","64","0","Robert Johnson"
"388","Orthopedics","Building E","7","020258293","79","0","Robert Smith"
"389","Surgery","Building B","2","024409165","96","0","Robert Taylor"
"390","Cardiology","Building D","9","024639132","100","0","Alice Johnson"
"391","Gastroentero","Building D","6","027544804","77","0","James Johnson"
"392","Geriatrics","Building B","2","027290357","95","0","Michael Davis"
"393","Pediatrics","Building D","3","022245162","86","0","Alice Jones"
"394","Emerg Med","Building C","9","029840263","99","0","Michael Moore"
"395","Endocrinol","Building C","7","029885657","33","0","Sara Williams"
"396","Geriatrics","Building C","8","026142426","85","0","Sara Smith"
"397","Geriatrics","Building C","2","029888932","29","0","Alice Taylor"
"398","Neurology","Building E","3","027676034","27","0","Jane Smith"
"399","Pediatrics","Building A","1","026831296","98","0","Sara Wilson"
"400","Ophthalmology","Building D","6","024417575","79","0","Michael Brown"
